order_id,order_date,ship_date,customer_id,customer_name,segment,country,state,postal_code,region,person,product_id,category,subcategory,product_name,sales,quantity,discount,profit,returned
US-2017-165743,2017-11-20,2017-11-23,Second Class,Michelle Moray,Consumer,United States,Aurora,80013.0,West,Anna Andreadi,OFF-BI-10001982,Office Supplies,Binders,Wilson Jones Custom Binder Spines & Labels,4.8960,3,0.70,-3.4272000000000000,
US-2017-165743,2017-11-20,2017-11-23,Second Class,Michelle Moray,Consumer,United States,Aurora,80013.0,West,Anna Andreadi,FUR-BO-10002268,Furniture,Bookcases,Sauder Barrister Bookcases,145.7640,6,0.70,-247.7988000000000000,
US-2017-165743,2017-11-20,2017-11-23,Second Class,Michelle Moray,Consumer,United States,Aurora,80013.0,West,Anna Andreadi,OFF-BI-10001758,Office Supplies,Binders,Wilson Jones 14 Line Acrylic Coated Pressboard Data Binders,9.6120,6,0.70,-7.3692000000000000,
CA-2016-128622,2016-11-15,2016-11-17,Second Class,Scott Cohen,Corporate,United States,San Francisco,94110.0,West,Anna Andreadi,OFF-SU-10001574,Office Supplies,Supplies,Acme Value Line Scissors,10.9500,3,0.00,3.2850000000000000,
US-2019-120147,2019-03-30,2019-03-30,Same Day,Tom Boeckenhauer,Consumer,United States,Los Angeles,90036.0,West,Anna Andreadi,OFF-AR-10000817,Office Supplies,Art,Manco Dry-Lighter Erasable Highlighter,6.0800,2,0.00,2.0672000000000000,
US-2019-120147,2019-03-30,2019-03-30,Same Day,Tom Boeckenhauer,Consumer,United States,Los Angeles,90036.0,West,Anna Andreadi,TEC-PH-10002447,Technology,Phones,AT&T CL83451 4-Handset Telephone,164.7920,1,0.20,18.5391000000000000,
CA-2019-145779,2019-05-06,2019-05-10,Standard Class,Doug Bickford,Consumer,United States,Tucson,85705.0,West,Anna Andreadi,OFF-PA-10002254,Office Supplies,Paper,Xerox 1883,84.4160,4,0.20,27.4352000000000000,
CA-2019-100601,2019-11-16,2019-11-20,Standard Class,Jay Kimmel,Consumer,United States,Fresno,93727.0,West,Anna Andreadi,OFF-ST-10002486,Office Supplies,Storage,Eldon Shelf Savers Cubes and Bins,48.8600,7,0.00,0.9771999999999980,
CA-2018-138478,2018-10-21,2018-10-26,Second Class,Dennis Pardue,Home Office,United States,North Las Vegas,89031.0,West,Anna Andreadi,OFF-AR-10002240,Office Supplies,Art,Panasonic KP-150 Electric Pencil Sharpener,113.2200,3,0.00,29.4372000000000000,
CA-2018-138478,2018-10-21,2018-10-26,Second Class,Dennis Pardue,Home Office,United States,North Las Vegas,89031.0,West,Anna Andreadi,OFF-PA-10001801,Office Supplies,Paper,Xerox 193,35.8800,6,0.00,17.5812000000000000,
CA-2018-138478,2018-10-21,2018-10-26,Second Class,Dennis Pardue,Home Office,United States,North Las Vegas,89031.0,West,Anna Andreadi,OFF-BI-10001120,Office Supplies,Binders,Ibico EPK-21 Electric Binding System,4535.9760,3,0.20,1644.2913000000000000,
US-2017-156867,2017-11-13,2017-11-17,Standard Class,Lena Cacioppo,Consumer,United States,Aurora,80013.0,West,Anna Andreadi,TEC-AC-10001552,Technology,Accessories,Logitech K350 2.4Ghz Wireless Keyboard,238.8960,6,0.20,-26.8758000000000000,
US-2017-156867,2017-11-13,2017-11-17,Standard Class,Lena Cacioppo,Consumer,United States,Aurora,80013.0,West,Anna Andreadi,FUR-FU-10004006,Furniture,Furnishings,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",102.3600,3,0.20,-3.8385000000000100,
US-2017-156867,2017-11-13,2017-11-17,Standard Class,Lena Cacioppo,Consumer,United States,Aurora,80013.0,West,Anna Andreadi,OFF-BI-10002794,Office Supplies,Binders,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",36.8820,3,0.70,-25.8174000000000000,
CA-2017-148628,2017-12-06,2017-12-11,Standard Class,Katherine Murray,Home Office,United States,Thousand Oaks,91360.0,West,Anna Andreadi,OFF-PA-10003883,Office Supplies,Paper,"Message Book, Phone, Wirebound Standard Line Memo, 2 3/4"" X 5""",32.7500,5,0.00,15.0650000000000000,
CA-2017-156566,2017-10-01,2017-10-04,First Class,Eric Murdock,Consumer,United States,Portland,97206.0,West,Anna Andreadi,TEC-PH-10001817,Technology,Phones,Wilson Electronics DB Pro Signal Booster,572.8000,2,0.20,50.1200000000000000,
CA-2019-121538,2019-11-28,2019-12-01,First Class,Rick Hansen,Consumer,United States,Denver,80219.0,West,Anna Andreadi,OFF-PA-10004071,Office Supplies,Paper,"Eaton Premium Continuous-Feed Paper, 25% Cotton, Letter Size, White, 1000 Shts/Box",88.7680,2,0.20,31.0688000000000000,
CA-2018-167507,2018-12-22,2018-12-28,Standard Class,Sue Ann Reed,Consumer,United States,Redmond,97756.0,West,Anna Andreadi,OFF-BI-10003694,Office Supplies,Binders,"Avery 3 1/2"" Diskette Storage Pages, 10/Pack",31.3200,10,0.70,-25.0560000000000000,
CA-2018-167507,2018-12-22,2018-12-28,Standard Class,Sue Ann Reed,Consumer,United States,Redmond,97756.0,West,Anna Andreadi,FUR-FU-10001935,Furniture,Furnishings,3M Hangers With Command Adhesive,11.8400,4,0.20,3.1080000000000000,
CA-2018-167507,2018-12-22,2018-12-28,Standard Class,Sue Ann Reed,Consumer,United States,Redmond,97756.0,West,Anna Andreadi,FUR-FU-10002878,Furniture,Furnishings,"Seth Thomas 14"" Day/Date Wall Clock",22.7840,1,0.20,4.8416000000000000,
CA-2018-150658,2018-11-17,2018-11-22,Standard Class,Maribeth Schnelling,Consumer,United States,Carlsbad,88220.0,West,Anna Andreadi,OFF-BI-10004140,Office Supplies,Binders,Avery Non-Stick Binders,10.7760,3,0.20,3.3675000000000000,
CA-2018-146766,2018-11-04,2018-11-04,Same Day,Thomas Thornton,Consumer,United States,Chula Vista,91911.0,West,Anna Andreadi,OFF-AR-10002135,Office Supplies,Art,Boston Heavy-Duty Trimline Electric Pencil Sharpeners,192.8000,4,0.00,55.9120000000000000,
CA-2016-133851,2016-06-09,2016-06-16,Standard Class,Chuck Magee,Consumer,United States,San Francisco,94122.0,West,Anna Andreadi,OFF-SU-10001225,Office Supplies,Supplies,Staple remover,7.3600,2,0.00,0.1472000000000000,
CA-2016-133851,2016-06-09,2016-06-16,Standard Class,Chuck Magee,Consumer,United States,San Francisco,94122.0,West,Anna Andreadi,OFF-AR-10003752,Office Supplies,Art,Deluxe Chalkboard Eraser Cleaner,23.1000,2,0.00,10.6260000000000000,
CA-2018-120005,2018-03-03,2018-03-03,Same Day,Theresa Swint,Corporate,United States,San Francisco,94110.0,West,Anna Andreadi,OFF-SU-10004782,Office Supplies,Supplies,"Elite 5"" Scissors",25.3500,3,0.00,7.6050000000000000,
CA-2018-120005,2018-03-03,2018-03-03,Same Day,Theresa Swint,Corporate,United States,San Francisco,94110.0,West,Anna Andreadi,FUR-FU-10000672,Furniture,Furnishings,"Executive Impressions 10"" Spectator Wall Clock",35.2800,3,0.00,11.9952000000000000,
CA-2016-107181,2016-02-04,2016-02-08,Standard Class,Deborah Brumfield,Home Office,United States,San Diego,92024.0,West,Anna Andreadi,OFF-BI-10004230,Office Supplies,Binders,GBC Recycled Grain Textured Covers,82.8960,3,0.20,29.0136000000000000,
CA-2016-107181,2016-02-04,2016-02-08,Standard Class,Deborah Brumfield,Home Office,United States,San Diego,92024.0,West,Anna Andreadi,OFF-PA-10000350,Office Supplies,Paper,"Message Book, Standard Line ""While You Were Out"", 5 1/2"" X 4"", 200 Sets/Book",34.2400,4,0.00,16.0928000000000000,
CA-2016-102645,2016-01-23,2016-01-28,Standard Class,Ionia McGrath,Consumer,United States,Las Vegas,89115.0,West,Anna Andreadi,OFF-PA-10001804,Office Supplies,Paper,Xerox 195,40.0800,6,0.00,19.2384000000000000,
CA-2018-166443,2018-11-04,2018-11-05,First Class,Lisa Hazard,Consumer,United States,San Francisco,94122.0,West,Anna Andreadi,FUR-FU-10004020,Furniture,Furnishings,Advantus Panel Wall Acrylic Frame,38.2900,7,0.00,16.4647000000000000,
CA-2016-164210,2016-11-18,2016-11-20,Second Class,Pierre Wener,Consumer,United States,Louisville,80027.0,West,Anna Andreadi,FUR-TA-10000849,Furniture,Tables,Bevis Rectangular Conference Tables,145.9800,2,0.50,-99.2664000000000000,
CA-2016-164210,2016-11-18,2016-11-20,Second Class,Pierre Wener,Consumer,United States,Louisville,80027.0,West,Anna Andreadi,OFF-PA-10002259,Office Supplies,Paper,"Geographics Note Cards, Blank, White, 8 1/2"" x 11""",35.8080,4,0.20,12.5328000000000000,
CA-2017-110744,2017-09-07,2017-09-12,Standard Class,Helen Andreada,Consumer,United States,Pasadena,91104.0,West,Anna Andreadi,OFF-ST-10003656,Office Supplies,Storage,Safco Industrial Wire Shelving,671.9300,7,0.00,20.1579000000000000,
CA-2017-125423,2017-12-13,2017-12-15,Second Class,Matt Collins,Consumer,United States,Los Angeles,90036.0,West,Anna Andreadi,OFF-LA-10001771,Office Supplies,Labels,Avery 513,9.9600,2,0.00,4.5816000000000000,
CA-2019-130106,2019-05-22,2019-05-26,Standard Class,Vicky Freymann,Home Office,United States,San Francisco,94109.0,West,Anna Andreadi,OFF-AR-10003651,Office Supplies,Art,Newell 350,9.8400,3,0.00,2.8536000000000000,
CA-2019-130106,2019-05-22,2019-05-26,Standard Class,Vicky Freymann,Home Office,United States,San Francisco,94109.0,West,Anna Andreadi,OFF-AR-10003732,Office Supplies,Art,Newell 333,2.7800,1,0.00,0.7228000000000000,
CA-2018-123358,2018-04-10,2018-04-17,Standard Class,Brian Thompson,Consumer,United States,San Francisco,94122.0,West,Anna Andreadi,OFF-AP-10004980,Office Supplies,Appliances,3M Replacement Filter for Office Air Cleaner for 20' x 33' Room,113.7600,3,0.00,44.3664000000000000,
CA-2018-123358,2018-04-10,2018-04-17,Standard Class,Brian Thompson,Consumer,United States,San Francisco,94122.0,West,Anna Andreadi,OFF-ST-10001932,Office Supplies,Storage,Fellowes Staxonsteel Drawer Files,579.5100,3,0.00,81.1314000000000000,
CA-2018-123358,2018-04-10,2018-04-17,Standard Class,Brian Thompson,Consumer,United States,San Francisco,94122.0,West,Anna Andreadi,OFF-ST-10000636,Office Supplies,Storage,Rogers Profile Extra Capacity Storage Tub,150.6600,9,0.00,6.0263999999999900,
CA-2018-123358,2018-04-10,2018-04-17,Standard Class,Brian Thompson,Consumer,United States,San Francisco,94122.0,West,Anna Andreadi,OFF-BI-10000069,Office Supplies,Binders,"GBC Prepunched Paper, 19-Hole, for Binding Systems, 24-lb",48.0320,4,0.20,15.6104000000000000,
CA-2019-111591,2019-03-21,2019-03-25,Standard Class,Paul Stevenson,Home Office,United States,Seattle,98105.0,West,Anna Andreadi,OFF-BI-10004410,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",30.5760,6,0.20,10.3194000000000000,
